Temperature	Resistance
445.169	55469.672
451.023	54402.711
457.668	50077.551
464.977	46639.809
472.795	49983.738
480.910	42324.648
489.196	37358.520
497.596	31992.660
505.993	28653.410
514.330	25200.789
522.559	24332.801
530.626	21398.850
538.540	21097.570
546.251	20337.471
553.755	22152.029
561.020	22770.449
568.102	28517.150
574.949	34777.051
581.587	36302.191
588.000	35238.691
594.233	46087.059
600.233	70343.891
606.961	113801.703
613.387	1380230.000
619.226	1147864.000
624.774	1035481.000
630.087	1042118.000
635.211	2325422.000
640.112	2222184.000
644.664	171462.094
648.995	1849659.000
653.291	1875681.000
657.499	1826937.000
661.619	1755260.000
665.670	1793424.000
669.335	1105333.000
671.134	1309791.000
670.438	1318980.000
667.961	1301067.000
664.290	1333008.000
659.792	1312460.000
654.783	1310440.000
649.439	1299527.000
643.937	1294190.000
638.367	245400.203
631.913	711.998
627.154	1450.627
622.023	2866.153
616.773	3152.738
611.465	3591.826
606.259	3836.109
601.107	4163.271
596.010	4695.356
591.015	5067.650
586.101	5543.267
581.268	6009.570
576.543	6507.853
571.890	7046.007
567.353	7587.801
562.885	8241.723
558.526	8852.934
554.220	9513.533
550.005	10271.280
545.892	11064.440
541.830	11901.720
537.868	12792.340
533.967	13747.410
530.135	14734.040
526.366	15855.390
522.686	17039.359
519.065	18260.070
515.497	19505.051
511.995	20835.971
508.562	22260.770
505.198	23716.350
501.878	25286.590
498.600	26883.430
495.344	28521.051
492.178	30329.789
489.064	32271.711
485.986	34344.262
482.975	36597.359
480.004	38928.141
477.059	41435.430
