Temperature	Resistance
344.118	540682.625
346.265	514617.594
350.599	465124.000
356.799	413867.312
364.411	353785.906
373.100	286092.000
382.577	231901.000
392.614	187426.094
403.050	154829.297
413.720	123278.602
424.527	98938.352
435.361	79370.172
446.145	66104.680
456.832	58705.328
467.361	49085.961
477.707	44610.941
487.845	40540.480
497.743	33015.609
507.395	27716.699
516.794	24312.391
525.938	21330.260
534.818	19423.301
543.434	19846.631
551.778	16001.000
559.865	14034.350
567.692	13151.870
575.281	13650.310
582.628	15711.200
589.746	16828.631
596.630	22028.619
603.317	47249.512
609.772	90709.328
616.022	127745.797
622.071	111202.297
627.961	106486.398
633.682	90244.719
639.223	91333.594
644.618	620673.312
649.830	503587.687
654.910	182157.703
659.820	93368.422
664.599	1887623.000
669.239	1823378.000
673.729	1805980.000
678.078	1767429.000
682.269	1657190.000
685.139	1617697.000
686.428	1664634.000
685.136	1797374.000
682.066	1804618.000
677.758	1802096.000
672.616	1882811.000
666.870	1899097.000
660.763	2077000.000
654.451	2015958.000
648.034	2084585.000
641.568	2297125.000
635.138	2205027.000
99000003020963284500000000000000000000.000	2356882.000
