624,0.000429
634,0.000437
644,0.000444
654,0.000481
664,0.000622
674,0.001041
684,0.002098
694,0.004114
704,0.007210
714,0.010767
724,0.014254
734,0.017147
744,0.019392
754,0.020870
764,0.021628
774,0.021759
784,0.021265
794,0.020254
804,0.018778
814,0.016918
824,0.014752
834,0.012297
844,0.009697
854,0.007086
864,0.004709
874,0.002846
884,0.001518
894,0.000711
904,0.000330
914,0.000196
924,0.000122
934,7.820180E-5
944,5.149860E-5
954,3.623990E-5
964,2.670300E-5
974,2.288830E-5
